Código Departamento,Código Municipio,Nombre Departamento,Nombre Municipio,Tipo
05,05001,ANTIOQUIA,MEDELLÍN,Municipio
05,05002,ANTIOQUIA,ABEJORRAL,Municipio
05,05004,ANTIOQUIA,ABRIAQUÍ,Municipio
05,05021,ANTIOQUIA,ALEJANDRÍA,Municipio
05,05030,ANTIOQUIA,AMAGÁ,Municipio
05,05031,ANTIOQUIA,AMALFI,Municipio
05,05034,ANTIOQUIA,ANDES,Municipio
05,05036,ANTIOQUIA,ANGELÓPOLIS,Municipio
05,05038,ANTIOQUIA,ANGOSTURA,Municipio
05,05040,ANTIOQUIA,ANORÍ,Municipio
05,05042,ANTIOQUIA,SANTA FÉ DE ANTIOQUIA,Municipio
05,05044,ANTIOQUIA,ANZÁ,Municipio
05,05045,ANTIOQUIA,APARTADÓ,Municipio
05,05051,ANTIOQUIA,ARBOLETES,Municipio
05,05055,ANTIOQUIA,ARGELIA,Municipio
05,05059,ANTIOQUIA,ARMENIA,Municipio
05,05079,ANTIOQUIA,BARBOSA,Municipio
05,05086,ANTIOQUIA,BELMIRA,Municipio
05,05088,ANTIOQUIA,BELLO,Municipio
05,05091,ANTIOQUIA,BETANIA,Municipio
05,05093,ANTIOQUIA,BETULIA,Municipio
05,05101,ANTIOQUIA,CIUDAD BOLÍVAR,Municipio
05,05107,ANTIOQUIA,BRICEÑO,Municipio
05,05113,ANTIOQUIA,BURITICÁ,Municipio
05,05120,ANTIOQUIA,CÁCERES,Municipio
05,05125,ANTIOQUIA,CAICEDO,Municipio
05,05129,ANTIOQUIA,CALDAS,Municipio
05,05134,ANTIOQUIA,CAMPAMENTO,Municipio
05,05138,ANTIOQUIA,CAÑASGORDAS,Municipio
05,05142,ANTIOQUIA,CARACOLÍ,Municipio
05,05145,ANTIOQUIA,CARAMANTA,Municipio
05,05147,ANTIOQUIA,CAREPA,Municipio
05,05148,ANTIOQUIA,EL CARMEN DE VIBORAL,Municipio
05,05150,ANTIOQUIA,CAROLINA,Municipio
05,05154,ANTIOQUIA,CAUCASIA,Municipio
05,05172,ANTIOQUIA,CHIGORODÓ,Municipio
05,05190,ANTIOQUIA,CISNEROS,Municipio
05,05197,ANTIOQUIA,COCORNÁ,Municipio
05,05206,ANTIOQUIA,CONCEPCIÓN,Municipio
05,05209,ANTIOQUIA,CONCORDIA,Municipio
05,05212,ANTIOQUIA,COPACABANA,Municipio
05,05234,ANTIOQUIA,DABEIBA,Municipio
05,05237,ANTIOQUIA,DONMATÍAS,Municipio
05,05240,ANTIOQUIA,EBÉJICO,Municipio
05,05250,ANTIOQUIA,EL BAGRE,Municipio
05,05264,ANTIOQUIA,ENTRERRÍOS,Municipio
05,05266,ANTIOQUIA,ENVIGADO,Municipio
05,05282,ANTIOQUIA,FREDONIA,Municipio
05,05284,ANTIOQUIA,FRONTINO,Municipio
05,05306,ANTIOQUIA,GIRALDO,Municipio
05,05308,ANTIOQUIA,GIRARDOTA,Municipio
05,05310,ANTIOQUIA,GÓMEZ PLATA,Municipio
05,05313,ANTIOQUIA,GRANADA,Municipio
05,05315,ANTIOQUIA,GUADALUPE,Municipio
05,05318,ANTIOQUIA,GUARNE,Municipio
05,05321,ANTIOQUIA,GUATAPÉ,Municipio
05,05347,ANTIOQUIA,HELICONIA,Municipio
05,05353,ANTIOQUIA,HISPANIA,Municipio
05,05360,ANTIOQUIA,ITAGÜÍ,Municipio
05,05361,ANTIOQUIA,ITUANGO,Municipio
05,05364,ANTIOQUIA,JARDÍN,Municipio
05,05368,ANTIOQUIA,JERICÓ,Municipio
05,05376,ANTIOQUIA,LA CEJA,Municipio
05,05380,ANTIOQUIA,LA ESTRELLA,Municipio
05,05390,ANTIOQUIA,LA PINTADA,Municipio
05,05400,ANTIOQUIA,LA UNIÓN,Municipio
05,05411,ANTIOQUIA,LIBORINA,Municipio
05,05425,ANTIOQUIA,MACEO,Municipio
05,05440,ANTIOQUIA,MARINILLA,Municipio
05,05467,ANTIOQUIA,MONTEBELLO,Municipio
05,05475,ANTIOQUIA,MURINDÓ,Municipio
05,05480,ANTIOQUIA,MUTATÁ,Municipio
05,05483,ANTIOQUIA,NARIÑO,Municipio
05,05490,ANTIOQUIA,NECOCLÍ,Municipio
05,05495,ANTIOQUIA,NECHÍ,Municipio
05,05501,ANTIOQUIA,OLAYA,Municipio
05,05541,ANTIOQUIA,PEÑOL,Municipio
05,05543,ANTIOQUIA,PEQUE,Municipio
05,05576,ANTIOQUIA,PUEBLORRICO,Municipio
05,05579,ANTIOQUIA,PUERTO BERRÍO,Municipio
05,05585,ANTIOQUIA,PUERTO NARE,Municipio
05,05591,ANTIOQUIA,PUERTO TRIUNFO,Municipio
05,05604,ANTIOQUIA,REMEDIOS,Municipio
05,05607,ANTIOQUIA,RETIRO,Municipio
05,05615,ANTIOQUIA,RIONEGRO,Municipio
05,05628,ANTIOQUIA,SABANALARGA,Municipio
05,05631,ANTIOQUIA,SABANETA,Municipio
05,05642,ANTIOQUIA,SALGAR,Municipio
05,05647,ANTIOQUIA,SAN ANDRÉS DE CUERQUÍA,Municipio
05,05649,ANTIOQUIA,SAN CARLOS,Municipio
05,05652,ANTIOQUIA,SAN FRANCISCO,Municipio
05,05656,ANTIOQUIA,SAN JERÓNIMO,Municipio
05,05658,ANTIOQUIA,SAN JOSÉ DE LA MONTAÑA,Municipio
05,05659,ANTIOQUIA,SAN JUAN DE URABÁ,Municipio
05,05660,ANTIOQUIA,SAN LUIS,Municipio
05,05664,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,Municipio
05,05665,ANTIOQUIA,SAN PEDRO DE URABÁ,Municipio
05,05667,ANTIOQUIA,SAN RAFAEL,Municipio
05,05670,ANTIOQUIA,SAN ROQUE,Municipio
05,05674,ANTIOQUIA,SAN VICENTE FERRER,Municipio
05,05679,ANTIOQUIA,SANTA BÁRBARA,Municipio
05,05686,ANTIOQUIA,SANTA ROSA DE OSOS,Municipio
05,05690,ANTIOQUIA,SANTO DOMINGO,Municipio
05,05697,ANTIOQUIA,EL SANTUARIO,Municipio
05,05736,ANTIOQUIA,SEGOVIA,Municipio
05,05756,ANTIOQUIA,SONSÓN,Municipio
05,05761,ANTIOQUIA,SOPETRÁN,Municipio
05,05789,ANTIOQUIA,TÁMESIS,Municipio
05,05790,ANTIOQUIA,TARAZÁ,Municipio
05,05792,ANTIOQUIA,TARSO,Municipio
05,05809,ANTIOQUIA,TITIRIBÍ,Municipio
05,05819,ANTIOQUIA,TOLEDO,Municipio
05,05837,ANTIOQUIA,TURBO,Municipio
05,05842,ANTIOQUIA,URAMITA,Municipio
05,05847,ANTIOQUIA,URRAO,Municipio
05,05854,ANTIOQUIA,VALDIVIA,Municipio
05,05856,ANTIOQUIA,VALPARAÍSO,Municipio
05,05858,ANTIOQUIA,VEGACHÍ,Municipio
05,05861,ANTIOQUIA,VENECIA,Municipio
05,05873,ANTIOQUIA,VIGÍA DEL FUERTE,Municipio
05,05885,ANTIOQUIA,YALÍ,Municipio
05,05887,ANTIOQUIA,YARUMAL,Municipio
05,05890,ANTIOQUIA,YOLOMBÓ,Municipio
05,05893,ANTIOQUIA,YONDÓ,Municipio
05,05895,ANTIOQUIA,ZARAGOZA,Municipio
08,08001,ATLÁNTICO,BARRANQUILLA,Municipio
08,08078,ATLÁNTICO,BARANOA,Municipio
08,08137,ATLÁNTICO,CAMPO DE LA CRUZ,Municipio
08,08141,ATLÁNTICO,CANDELARIA,Municipio
08,08296,ATLÁNTICO,GALAPA,Municipio
08,08372,ATLÁNTICO,JUAN DE ACOSTA,Municipio
08,08421,ATLÁNTICO,LURUACO,Municipio
08,08433,ATLÁNTICO,MALAMBO,Municipio
08,08436,ATLÁNTICO,MANATÍ,Municipio
08,08520,ATLÁNTICO,PALMAR DE VARELA,Municipio
08,08549,ATLÁNTICO,PIOJÓ,Municipio
08,08558,ATLÁNTICO,POLONUEVO,Municipio
08,08560,ATLÁNTICO,PONEDERA,Municipio
08,08573,ATLÁNTICO,PUERTO COLOMBIA,Municipio
08,08606,ATLÁNTICO,REPELÓN,Municipio
08,08634,ATLÁNTICO,SABANAGRANDE,Municipio
08,08638,ATLÁNTICO,SABANALARGA,Municipio
08,08675,ATLÁNTICO,SANTA LUCÍA,Municipio
